가수,제목,가사,장르
아이브, eleven,"따분한 나의 눈빛이  무표정했던 얼굴이 널 보며 빛나고 있어 널 담은 눈동자는 odd 내 안에 빼곡하게 피어나는 blue 내가 지금 느끼는 이 감정들은 true  내 입술을 간지 힌 낯선 그 이름 난 몰랐어 내 맘이 이리 다채로운지 긴 꿈을 꾸게 해 이 방은 작은  eaven 춤을 추곤 해 실컷 어지러울 만큼  Oh my, oh my god 한 칸 더 채우고 있어 잘    , 2, 3, 4, 5, 6, 7 You make me feel like eleven 투명한 너와 나의 사이  가만히 들여다 다 일렁인 물결 속으로 더 빠져드는 걸 그날 향기로운 보랏빛의 mood  셀 수 없이 반복해도 기분 좋    감히 누가 이렇게 날 설레게 할 줄  난 몰랐어 내 맘이 이리 다채로운지 긴 꿈을 꾸게 해  방은 작은 heaven 춤을 추곤 해 실컷 어지러울 만큼  Oh my, oh my god 한 칸 더 채우고  어  잘 봐 1, 2, 3, 4, 5, 6, 7 You make me feel like eleven 내 앞에 있는 너를 그 눈에 비친   를 (그 눈에 비친 나를) Aya, aya, aya (가만히 바라봐) 내 앞에 있는 너를  그 눈에 비친  나를 가만히 바라봐 Don't say now  서둘러 오진 마  순간이 좋아 난  미처 몰랐어 내 맘   이리 다채로운지  긴 꿈을 꾸게 해 이 방은 작은 heaven 춤을 추곤 해 실컷 어지러울 만 Oh my, oh my god 한 칸 더 채우고 있어  잘 봐 1, 2, 3, 4, 5, 6, 7 You make me feel like  eleven  내 앞에 있는 너를 그 눈에 비친 나를 Aya, aya, aya  내 앞에 있는 너를 그 눈에  친 나를  사랑하게 됐거든 ",k-pop
블랙핑크,How you like that,"보란 듯이 무너졌어  바닥을 뚫고 저 지하까지 옷 끝자락 잡겠다고 저 높이 두 손을 뻗 봐도 다시 캄캄한 이곳에 light up the sky  네 두 눈을 보며 I'll kiss you goodbye 실컷  웃어라 꼴좋으니까 이제 너희 하나 둘 셋 Ha how you like that? You gon' like that that  hat that that How you like that? How you like that that that that that  Now look at you  ow look at me Look at you now look at me Look at you now look at me How you like  hat Now look at you now look at me Look at you now look at me Look at you now look at   e How you like that Your girl need it all and that's a hundred 백 개 중에 백 내 몫을 원해  Karma come and get some 딱하지만 어쩔 수 없잖아 What's up, I'm right back  방아쇠   ock back Plain Jane get hijacked Don't like me? Then tell me how you like that  더 캄캄   곳에 shine like the stars 그 미소를 띠며 I'll kiss you goodbye 실컷 비웃어라 꼴좋으니까  이제 너희 하나 둘 셋 Ha how you like that? You gon' like that that that that that  How  ou like that?   How you like that that that that that Now look at you now look at me Look  t you now look at me Look at you now look at me How you like that Now look at you  ow look at me  Look at you now look at me Look at you now look at me How you like   at 날개 잃은 채로 추락했던 날 어두운 나날 속에 갇혀 있던 날  그때쯤에 넌 날 끝내야 했   Look up in the sky it's a bird it's a plane Bring out your boss bish  BLACKPINK! How  ou like that  You gon' like that How you like that  ",k-pop
블랙핑크, 붐바야,"BLACKPINK in your area  Been a bad girl I know I am And I'm so hot I need a fan I  on't want a boy I need a man Click-Clack! Badda  bing badda booom! 문을 박차면  두 날 바라봄 굳이 애써 노력 안 해도 모든 남자들은 코피가 팡팡팡 팡팡 파라파라 팡  팡팡 지금 날 위한 축배를 짠짠짠 Hands up! 내 손엔bottle full o' henny  네가 말로만   던 걔가 나야 Jennie  춤추는 불빛은 날 감싸고 도네  Black to the pink 어디서든 특별   h yes  쳐다 보든 말든 I wanna dance Like 따라다라단딴 따라다라단딴 뚜두룹바우 좋아 이 분위기가 좋아 좋아 난 지금 네가 좋아  정말 반했어 오늘 밤  너와 춤추고 싶   BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH  AH YAH  BOOM BOOM BA BOOM BOOM BA 오빠 YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH  YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH 오빠 YAH   AH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH  YAH  BOOM BOOM BA  BOOMBAYAH BLACKPINK in your area  이제 달려야지 뭘 어떡  난 철 없어 겁 없어 man  Middle finger up F U pay me 90's baby I pump up the jam 달려봐 달려봐 오빠야 LAMBO  오늘은 너와 나 젊음을 GAMBLE 감히 날 막지마 혹시     가 날 막아도 I'm gonna go Brrrr RAMBO 네 손이 내 허리를 감싸고 도네 Front to my  ack  내 몸매는 특별해 Oh yes  네 눈빛은 I know you wanna touch  Like Touch touch   ouch touch 뚜두룹바우  좋아 이 분위기가 좋아 좋아 난 지금 네가 좋아  정말 멋있어  오늘 밤 와 춤추고 싶어  BOOMBAYAH YAH YAH YAH BOOMBAYAH  YAH YAH YAH BOOMBAYAH  YAH  AH YAH YAH BOOM BOOM BA BOOM BOOM BA 오빠  YAH YAH YAH YAH YAH YAH  AH YAH YAH YAH  AH YAH YAH YAH YAH YAH YAH YAH YAH YAH 오빠  YAH YAH  AH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH BOOM   OOM BA BOOMBAYAH 오늘은 맨 정신 따윈 버리고  하늘을 넘어서 올라 갈 거야 끝을  르게 빨리 달리고 싶어  Let's go, let's go 오늘은 맨 정신 따윈 버리고  하늘을 넘어서 올      야 끝을 모르게 빨리 달리고 싶어  Let's go, let's go  ",k-pop
비투비,그리워하다,My life is incomplete   It's Missing you  오늘도 하루를 보내 다를 게 없이  하나도 안  색해 혼자 있는 게  너 없인 안될 것 같던 내가 이렇게 살아  근데 좀 허전해 난 여전히  기 있나 봐   후련하게 다 털어내 다 다  지난 일에 마음 쓰는 게 It's alright  답이 잘 보 는가 싶다가도   어느새 날 가두는 감옥이 돼  시간은 앞으로만 가는 걸 어째  그동안     무것도 이룬 것이 없네   아직도 내 마음속엔 너 Oh oh 너를 그리워하다 하루가 다 지 어   너를 그리워하다 일 년이 가버렸어  난 그냥 그렇게 살아   너를 그리워하다 그리 하다  다 괜찮을 거라 되뇌어 봐도   내 하루에 끝엔 또 너로 남아  너 없인 안될 것 같    가 이렇게 살아   사실 좀 허전해 넌 여전히 여기 있나 봐  내 마음은 여전해 아직 너를   해   몇 년이 지나도 난 아직 널 그리워해  난 아직 기억해 우리 처음 봤을 때   네 옷차 과 머리 스타일도 다 정확하게   I pray for you every night and day  I hope that   omeday soon  I can see you once again   아직도 내 마음속엔 너 Oh oh   너를 그리 하다 하루가 다 지났어   너를 그리워하다 일 년이 가버렸어   난 그냥 그렇게 살아   너   리워하다 그리워하다   잠에서 깨어 헝클어진 머리처럼   내 일상도  꽤나 엉망이 돼버렸어 책임져   아무렇지 않은     드리워진 표정도 내 모든 곳에   스며든 네 흔적도 다 책임져 아직도 난  잊을 수 없나 봐   시 돌아와 줘   또다시 같은 엔딩이라 해도 너   너를 그리워하다 하루가 다 지났어   너를   리워하다 일 년이 가버렸어   너를 잊으려 하다 하루가 지나가도  너를 지우려 하다 일 년    버려도   난 그냥 그렇게 살아  너를 그리워하다 그리워하다    그리워하다 그리워하다 ,k-pop
비비,밤양갱,떠나는 길에 니가 내게 말했지 '너는 바라는 게 너무나 많아  잠깐이라도 널 안 바라보  머리에 불이 나버린다니까' 나는 흐르려는 눈물을 참고 하려던 얘길 어렵게 누르고 '그래  안해'라는 한 마디로 너랑 나눈 날들 마무리했었지  달디달고 달디달고 달디단 밤양갱 밤 갱 내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야 떠나는 길에 니가 내게 말했지 '너는   라는 게 너무나 많아' 아냐 내가 늘 바란 건 하나야 한 개뿐이야 달디단 밤양갱 달디달고   디달고 달디단 밤양갱 밤양갱 내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야 상다리가  러지고 둘이서 먹다 하나가 쓰러져버려도  나라는 사람을 몰랐던 넌 떠나가다가 돌아서   했지 '너는 바라는 게 너무나 많아'  아냐 내가 늘 바란 건 하나야 한 개뿐이야 달디단 밤 갱  ,k-pop
TWS,첫만남은 계획대로 되지 않아,"Ay ay ay ay ay  거울 속에 내 표정 봐 봐 느낌 So good 기다려온 D-day 연습했던 손든   사도 그대로 하면 돼 Hairstyle check하고 한 번 Turn around 발걸음은 매일 걷던 그 길로 계획은 완벽 빨리 말 걸어보고 싶어, Hey  Woo 문 앞에서 셋을 세어본다, Yeh (셋, 둘, 하 )  첫 만남은 너무 어려워 계획대로 되는 게 없어서 첫 만남은 너무 어려워 내 이름은 말   Hey, 안녕, 첫 마디를 건넬 때 주변 소린 Canceled 네 말소리는 Playlist  Yeh, 질문은 나   기, 알려줘 너의  “이름이 뭐야?” 너와 내 거리는 세 걸음 남았어, Yeh (셋, 둘, 하나) 첫 만  은 너무 어려워 계획대로 되는 게 없어서 첫 만남은 너무 어려워 내 이름은 말야  이 순 ,  eels so wonderful  조금은 뚝딱거려도 어색한 인사까지도  너와 나의 첫 만남 우리의 사    eautiful  내일도 내일모레도 기억해, 영원히 반짝일 순간 Wait wait! Na na na-  이렇게 만 서 반가워  내일 또 봐 안녕  ",k-pop
(여자)아이들,나는 아픈 건 딱 질색이니까,오늘도 아침엔 입에 빵을 물고  똑같이 하루를 시작하고 온종일 한 손엔 아이스 아메 카노 피곤해 죽겠네 지하철 속 이 장면 어제 꿈에서 봤나 아참 매일이지 지나치고  바쁜 이  에 그냥 흔한 날에 그 애를 보고 말야 평온했던 하늘이 무너지고 어둡던 눈앞이 붉어지며 뭔가 잊고 온 게 있는 것 같아 괜히 이상하게 막 울 것만 같고  그냥 지나치는 게 나을 것  아  나는 생각은 딱 질색이니까 카페인으로 잡은 정신은 빠졌고 하루  일 신경 쓰여 토할 것 같아 저녁이 돼도 배고픔까지 까먹고 그치 이상하지 근데 말야  잖아 처음 본 순간 뭐라 할까 그립달까 나도 웃긴데 말야 평온했던 하늘이 무너지고 어둡던 눈앞이 붉어 며 뭔가 잊고 온 게 있는 것 같아  괜히 이상하게 막 울 것만 같고 그냥 지나치는 게 나을    아 나는 생각은 딱 질색이니까 오랫동안 나를 아는 슬픈 표정을 하고 Oh 흔적 없는 기억   혹 과거에 미래에 딴 차원에 세계에  평온했던 하늘이 무너지고 어둡던 눈앞이 붉어져도 다시 놓쳐버리는 것만 같아 괜히 이상하게 막 울 것만 같고 그냥 지나치는 게 나을 것 같   나는 생각은 딱 질색이니까 아냐 지나치는 게 나을 것 같아 나는 아픈 건 딱 질색이니까 ,k-pop
선미,보라빛밤,내게 뭘 원하냬  그냥 말만 하래 하늘에 별도 따주겠대 다른 건 안 바래 이 밤만 원하   그대 손 잡고 안 놔줄래 보라빛 밤 I like it like it 더 같이 있자 아직 이르잖아  We're  ike 보라빛 밤 날 하늘 위로 터트려 볼래 이 밤 밤 밤 밤 밤  보라빛 밤 오 그대여 눈뜨      라져 엉망이 돼도  오 그대여 난 다시 또 이 밤을 기다릴게요 나나나 나 나나 나나나     나 나나나 나 나나 보라빛 밤  나나나 나 나나 나나나 나 나나 나나나 나 나나 보라빛   술은 입에도  안 댔는데 I'm tipsy 나 조금 어지러운 것 같애 지금 아님 언제? 참 답답  네 날 감싸 안고 입 맞출래 보라빛 밤 I like it like it 더 같이 있자  아직 이르잖아 We're  ike 보라빛 밤 날 하늘 위로 터트려 볼래  이 밤 밤 밤 밤 밤 보라빛 밤 오 그대여 눈 뜨면 다 사라져 엉망이 돼도 오 그대여  난 다시 또 이 밤을 기다릴게요 꿈인가 싶다가도 니가 떠오르니  그 밤은 진심인 거야  일거야 보라빛 밤 오 그대여 눈 뜨면 다 사라져  엉망이 돼도 오 그  여  난 다시 또 이 밤을 기다릴게요 오 그대여 (나나나 나 나나 나나나 나 나나  나나나 나 나)  보라빛 밤 오 그대여 난 다시 또 이 밤을 기억 할게요   (나나나 나 나나 나나나 나 나  나나 나 나나)  보라빛 밤 ,k-pop
오마이걸,dolphin,oh my god 타이밍이 참 얄미워 오늘 같은 날 마주쳐 이게 뭐야 머리는 엉망인 데다  상태가 말이 아니야 모른 척 지나가 줘 내 맘이 방심할 때마다 불쑥 나타난 뒤 헤엄치   어지는 너 또 물보라를 일으켜 da da da da da da da da da da  da da da da 또 물보라를  으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 어쩐지 오늘 알람      려 아무거나 막 입었고 지각이야 아래로 몸을 낮추고 숨을 꾹 참아봤지만  아이쿠 들켰    내 맘이 방심할 때마다 불쑥 나타난 뒤 헤엄치듯 멀어지는 너 또 물보라를 일으켜 da da   a da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da da   da da da da 또 물보라를 일으켜  이 파도 위 난 온종일 서핑을 하는 느낌 아찔한 feeling     직히 푹 빠졌지 하지만 이건 secret 또 물보라를 일으켜 갑자기 웃으며 얼굴을 불쑥 다가  뒤 원을 갈라 하트를 그려 또 물보라를 일으켜  da da da da da da da da da da da da da    또 물보라를 일으켜 da da da da da da da da da da da da da da 또 물보라를 일으켜 da   a da da da da da da da da da da da da 또 물보라를 일으켜 da da da da da da da da   a da da da da da 또 물보라를 일으켜 ,k-pop
너드커넥션,그대만 있다면,날 사랑해서 떠난다며 눈물짓던 그대의 말을 믿을 수 없죠 하지만 나의 전부였던 그  가 힘들어하기에 잡을 수 없었죠 온통 너와의 기억뿐인 나를 위해서였다면 조금씩 무너져 는 날 날 위한다면 이대로 내 곁에 있어야 해요 나를 떠나면 안 돼요 세상의 모든 걸 잃어  찮아요  그대만 있다면 그대만 있다면함께 웃던 시간들을 함께했던 약속들을  지금 또  원히 기억하겠어요 다시 한번 생각해요 무엇이 날 위한 건지 그대는 알고 있어요 영원히     을 지켜주세요 나를 떠나지 말아요 세상의 모든 걸 잃어도 난 좋아요 그대만 있다면 그 만 있다면 온통 그대의 생각뿐인 나를 위해서였다면 초라하게 쓰러지는 날 날 위한다면 이대로 내 곁에 있어야 해요  나를 떠나면 안 돼요 세상의 모든 걸 잃어도 괜찮아요 그대   다면 그대만 있다면  영원히 내 곁을 지켜주세요 나를 떠나지 말아요 세상의 모든 걸 잃 도 난 좋아요 그대만 있다면 그대만 있다면  ,k-pop
너드커넥션,좋은 밤 좋은 꿈,저 많은 별을 다 세어 보아도  그대 마음은 헤아릴 수 없어요 그대의 부서진 마음 조각들  차갑게 흩어져 있는 탓에 그댄 나의 어떤 모습들을  그리도 깊게 사랑했나요 이제 내가  줄 수 있는 건 좋은 밤 좋은 꿈 안녕 좋은 밤 좋은 꿈 안녕 시월의 서늘한 공기 속에도  장 향을 난 느낄 수가 있죠 오월 어느 날에 피었던 빨갛던 밤을 기억하거든요 그댄 나의 어   습들을 그리도 깊게 사랑했나요 이제 내가 해줄 수 있는 건 좋은 밤 좋은 꿈 안녕 까만 밤      나고 나면  이야기는 사라질 테지만 이름 모를 어떤 꽃말처럼 그대 곁에 남아 있을게요 나는 그대 어떤 모습들을  그리도 깊게 사랑했었나 이제 내가 해줄 수 있는 건 좋은 밤 좋     녕,k-pop
아이브, 러브다이브,"네가 참 궁금해 그건 너도 마찬가지  이거면 충분해 쫓고 쫓는 이런 놀이 참을 수 없는  끌림과 호기심 묘한 너와 나 두고 보면 알겠지 Woo 눈동자 아래로 Woo 감추고 있는 거 Woo yeah It's so bad It's good 난 그 맘을 좀 봐야겠어 Narcissistic, my god I love it 서를 비춘 밤 아름다운 까만 눈빛 더 빠져 깊이  (넌 내게로 난 네게로) 숨 참고 love dive Woo lalalalalalala Woo 어서 와서 love dive  Woo oh perfect sacrifice yeah 숨 참고 love  ive  마음은 이렇게 알다가도 모르지 사랑이라는 건 한순간에 필 테니 직접 들어와 두 눈 으로 확인해 내 맘 가장 깊은 데로 오면 돼  Woo 망설일 시간은 Woo 3초면 되는 걸 Woo  eah It's so bad It's good 원하면 감히 뛰어들어  Narcissistic, my god I love it 서로를 비     아름다운 까만 눈빛 더 빠져 깊이 (넌 내게로 난 네게로) 숨 참고 love dive Woo   alalalalalala Woo 어서 와서 love dive Woo oh perfect sacrifice yeah 숨 참고 love dive 숨 참고 love dive  숨 참고 love dive 숨 참고 love dive 숨 참고 love dive Woo   alalalalalala Woo 어서 와서 love dive Woo oh perfect sacrifice yeah 숨 참고 love dive ",k-pop
아이브,afterlike,또 모르지 내 마음이  저 날씨처럼 바뀔지 날 나조차 다 알 수 없으니 그게 뭐가 중요 니 지금 네게 완전히 푹 빠졌단 게 중요한 거지 아마 꿈만 같겠지만 분명 꿈이 아니야 달리 설명할 수 없는 이건 사랑일 거야 방금 내가 말한 감정 감히 의심하지 마 그냥 좋 는 게 아냐 What's after 'LIKE'? You and I It's more than 'LIKE'  L 다음 또 O 다음 난  eah You and I It's more than 'LIKE' What's after 'LIKE'? What's after 'LIKE'? 조심해     장에 핀 새파란 이 불꽃이 저 태양보다 뜨거울 테니 난 저 위로 또 아래로  내 그래프   이 커 Yeah  hat's me  두 번 세 번 피곤하게 자꾸 질문하지 마 내 장점이 뭔지 알아? 바로 솔직한 거  방금 내가 말한 감정 감히 의심하지 마 그냥 좋다는 게 아냐 What's after 'LIKE'?  You  nd I It's more than 'LIKE' L 다음 또 O 다음 난 yeah  You and I It's more than 'LIKE' What's after 'LIKE'?  What's after 'LIKE'? What after like 내 맘에 strike 지금 느낀 짜릿 은 마치 tike  LO 다음에 I 그 다음에 VE 여긴 너와 내 space 아무도 막지 못해 나를 보면     빡할  시간 조차도 아까울 걸 드디어 만나 반가워 LOVE 사이 놓일 I  (What's after  LIKE'?) You and I  It's more than 'LIKE' E 앞 또 V 앞 난 yeah You and I  t's more than  LIKE'  What's after 'LIKE'? You and I It's more than 'LIKE'    다음 또 O 다음 난 yeah You and I  It's more than 'LIKE'   hat's after 'LIKE'? What's after 'LIKE'?  ,k-pop
뉴진스, gods,"GA-GA-GA-GA-GA-GODS   GA-GA-GA-GA-GA-GODS ('ey) This is what you came  or Blood on the game ball Everybody dropping like rainfall ('uh') This is your moment Eyes on the pulpit, kid (I) think Church just opened And they're singing your praises  a-la-la Screaming your name out la-la-loud One more step, you're Immortal now,   cause Once you play GOD Once you play GOD They're gonna' crumble one by one Then we gonna ride right into the Sun like it's the day my kingdom come Baby we're  GA-GA-GA-GA-GA-GODS eah we're GA-GA-GA-GA-GA-GODS  Welcome to the  ig show Next on the ladder Is it your name in the rafter? Brief moment of silence  Bad girl woke  p chose violence And they're singing my praises la-la-la Screaming my name out la-la- loud This is why we're Immortal now, 'cause Once you play GOD  Once you play GOD They're gonna' crumble one by one Then we gonna ride right into the Sun like it's the  ay my kingdom come  Baby we're GA-GA-GA-GA-GA-GODS  Oh, yeah we're GA-GA- A-GA-GA-GODS  I'm on my knees Pray for glory  Will anyone read this underdog   tory? I can't lose myself again  Help me raise this heart Heart, unbreakable Once you   lay GODOnce you play GOD They're gonna' crumble one by one hen we gonna ride   ight into the Sun like it's the day my kingdom come Once you play GOD Once you play  OD  They're gonna' crumble one by one Then we gonna ride right into the Sun like it's   the day my kingdom comeBaby we're  GA-GA-GA-GA-GA-GODS  Oh, yeah we're GA- A-GA-GA-GA-GODS  GA-GA-GA-GA-GA-GODS Oh, yeah we're GA-GA-GA-GA-GA-  ODS ",k-pop
빅뱅,꽃길,그땐 참 좋았는데 말이야 너와 함께할 수만 있다면  때론 외롭고 슬퍼도 말이야 너와  이 할 수만 있다면 Sing it na na na 노래해 나나나 우리 이게 마지막이 아니야 부디 또  나요 꽃이 피면 때론 꽤 별난 일이 많아 넌 나 같이 못난 놈을 만나  다시 누군갈 사랑     을까?  너 아니라면 그럴 일은 없을 것 같아 나 의식 없이 발길 흐름대로 가던 길 날 화 히 비춰주던 네 빛 한줄기  그 전율이 느껴지는 예쁜 꽃 길 그곳에 너로 인해 설수 있   oly poly toy  떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다 그리워  면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가  그 자리  곳에서 날 기다려요  그땐 참 좋았는데 말이야 너와 함께할 수만 있다면  때론 외롭고 슬퍼도 말 야 너와 같이 할 수만 있다면 많이 울기도 했지만 웃은 일도 많아  내 머릿속 안에는 추억   무 많아이 또한 지나갈 테니까  이 다음에 만나요 꽃이 피면 1년 365 이 세상 하나뿐인  넌 내 음악의 Motive 날 일깨워주는 은인   커다란 꽃밭에 기대어 막 떠오르던 가사말 아 도 참 생생해 빠담빠담 너란 만개 한 꽃의 색은 100000 개 무한대 거대한 울림 Vivaldi의  계  아직도 그댄 내 맘에 담을 수 없는 그림 내 눈을 의심하지 You are my Magical  ueen  떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다  그리워지면 돌아와 줘   그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려         다 입을 맞추죠 얼굴은 빨개지고  꽃 길을 깔아 준비를 하죠 그대가 오시는 길 그리워지    아와 줘요  그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서     다려요 꽃 잎 따다 입을 맞추죠 얼굴은 빨개지고  꽃 길을 깔아 준비를 하죠  그 자리 그 에서 날 기다려요,k-pop
빅뱅,봄여름가을겨울,"이듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈 가을 타 겨울 내릴 눈 1년 네 번 또다시 봄 정 었던 내 젊은 날 이제는 안녕 아름답던 우리의 봄 여름 가을 겨울 “Four seasons with no   eason.” 비 갠 뒤에 비애(悲哀) 대신 a happy end 비스듬히 씩 비웃듯 칠색 무늬의 무지  철없이 철 지나 철들지 못해(still)  철부지에 철 그른지 오래, Marchin' 비발디 차이코프스 , 오늘의 사계를 맞이해 마침내, 마치 넷이 못내  Boy 저 하늘만 바라보고서 사계절 잘 지 고 있어 Good-bye  떠난 사람 또 나타난 사람 머리 위 저세상 난 떠나 영감의 amazon  지난 밤의 트라우마 다 묻고 목숨 바쳐 달려올 새 출발 하는 왕복선 변할래 전보다는 더 더  좋은 사람 더욱더 더 나은 사람 더욱더 아침 이슬을 맞고 내 안에 분노 과거에 묻고 For Life  울었던 웃었던 소년과 소녀가 그리워 나 찬란했던 사랑했던 그 시절만 자꾸 기 나  계절은 날이 갈수록 속절없이 흘러 붉게 물들이고 파랗게 멍들어 가슴을 훑고  언젠   시 올 그날 그때를 위하여 (그대를 위하여) 아름다울 우리의 봄 여름 가을 겨울  La la la  a la la la la la la la  La la la la la la la la la la la  a la la la la la la la la la la La la la la la la   a la la la la  듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈 가을 타 겨울 내린 눈 봄 여름 가을 겨  ",k-pop
트와이스, tt,이러지도 못하는데 저러지도 못하네  그저 바라보며 ba-ba-ba-baby 매일 상상만 해  름과 함께 쓱 말을 놨네 baby 아직 우린 모르는 사인데 아무거나 걸쳐도 아름다워  거       이서 하는  fashion show show 이번에 정말 꼭꼭 내가 먼저 talk talk 다짐 뿐인걸 매번  다짐 뿐인걸 나나나나나나나 콧노래가 나오다가 나도 몰래 눈물 날 것 같애 아닌 것   애 내가 아닌 것 같애   love you so much  이미 난 다 컸다고 생각하는데 어쩌면 내 맘 데 왜  내 맘대로 할 수 없는 건 왜  어내려고 하면 할수록자꾸 끌려 왜 자꾸 자꾸 끌려   aby I'm like TT  Just like TT 이런 내 맘 모르고 너무해 너무해 I'm like TT  Just like TT Tell me that you'd be my baby 어처구니 없다고 해  얼굴 값을 못한대 전혀 위로 안돼  a-ba-ba-baby  미칠 것 같애  이 와중에 왜 배는 또 고픈 건데 하루 종일 먹기만 하는   맴매매매 아무 죄도 없는 인형만 때찌  종일 앉아있다가 엎드렸다 시간이 획획획 피  는 왜 이렇게 또 칙칙 자꾸 틱틱 거리고 만 싶지 엄만 귀찮게 계속 왜왜왜왜왜 나나나  나나나 콧노래가 나오다가 나도 몰래  짜증날 것 같애 화날 것 같애 이런 애가 아닌데 I love you so   uch 이미 난 다 컸다고 생각하는데 어쩌면 내 맘인데 왜 내 맘대로 할 수 없는 건 왜  밀 내려고 하면 할수록 자꾸 끌려 왜 자꾸 자꾸 끌려 baby I'm like TT Just like TT  이런 내    르고 너무해 너무해 I'm like TT Just like TT  Tell me that you'd be my baby 혹시 이런 나    까요 이대로 사라져 버리면 안돼요 이번엔 정말 꼭꼭 내가 먼저 talk talk  다짐 뿐인걸 매   짐 뿐인걸 이미 난 다 컸다고 생각하는데  어쩌면 내 맘인데 왜 내 맘대로 할 수 없는 건    밀어내려고 하면 할수록 자꾸 끌려 왜 자꾸 자꾸 끌려 baby I'm like TT  Just like TT 이런       르고 너무해 너무해 I'm like TT  Just like TT Tell me that you'd be my baby ,k-pop
브레이브걸스,롤린,그 날을 잊지 못해 babe 날 보며 환히 웃던 너의 미소에 홀린 듯 I'm fall in love  But 너   팔림에 (난 그저)  한마디 말도 못해 babe I wanna you 너의 눈빛은  날 자꾸 네 곁을  돌게 해 Just only you 굳게 닫힌 내 맘이  어느새 무너져버려 Because of you 온통 너    각뿐이야 나도 미치겠어 너무 보고 싶어 매일 매일 매일 자꾸 초라해지잖아 내 모습   그대여 내게 말해줘 사랑한다고 Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin'  ollin' Rollin' Rollin' Rollin' Rollin'  하루가 멀다 하고 Rolling in the deep Rollin' Rollin' Rollin'  ollin'  Rollin' Rollin' Rollin' Rollin' 기다리고 있잖아 Babe Just only you 기다리고 있잖    abe Just only you Hey I just wanna be with you 오늘 밤이 가기 전에  I can't feel you  금 더 다가와 줘 Tonight I'm ready for you  You wanna touch me I know 대체 뭘 고민   리 안아  아닌 척 모르는 척 하다가 늦게 놓치고 후회 말아 I wanna you 너의 눈빛은  날 자꾸 네  을 맴돌게 해  Just only you 굳게 닫힌 내 맘이 어느새 무너져버려 Because of you 온통   의 생각뿐이야 나도 미치겠어 너무 보고 싶어 매일 매일 매일 자꾸 초라해지잖아 내 모  이 그대여 내게 말해줘 사랑한다고 Rollin' Rollin' Rollin' Rollin'  Rollin' Rollin' Rollin'  ollin' Rollin' Rollin' Rollin' Rollin' 하루가 멀다 하고 Rolling in the deep Rollin' Rollin'  ollin' Rollin'  Rollin' Rollin' Rollin' Rollin' 기다리고 있잖아 Babe Just only you  (Bridge) 이제 와 숨기려 하지 마요 그대여 아닌 척하지 마요  온종일 난 그대 생각에 잠긴 채로 난  대로 기다리고 있어요 Rollin' Rollin' Rollin' Rollin'  Rollin' Rollin' Rollin' Rollin' Rollin'  ollin' Rollin' Rollin'  하루가 멀다 하고 Rolling in the deep Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin'  기다리고 있잖아 Babe Just only you 기다리고 있잖아 Babe  ust only you ,k-pop
